Metadata,Avatar Prior,,,,,Avatar Creation,,,,,,Avatar Animation,,,,,,,Double Checked,Reviewer
Lin2022fite,Not specified (per-subject training on multi-view sequences),"CAPE, ClothWild",Real,Multi-view video,,3D Body Model (SMPL),Multi-view video,"SMPL, diffused skinning weights",Yes,Slow (>6h),,3D Body Pose (SMPL pose),None,Real-time (>30 FPS),,Point-based rendering,No,Full Body,FALSE,
Liao2023car,Not specified,"THuman2.0, CAPE, custom real images",Real + Synthetic,Single image,,3D Body Model (SMPL),One,"SMPL, hyper-network for initialization, implicit function (PIFu-like)",Yes,Fast (<1h),,3D Body Pose,None,Not reported,,Implicit surface (marching cubes mesh),No,Full Body,FALSE,
Liao2025hhavatar,N/A (per-subject optimization),"Custom multi-view captures (sparse views, 4 cameras)",Real,Sparse multi-view video,,"FLAME mesh tracking, implicit SDF initialization",Sparse multi-view video (~4 cameras),"FLAME parametric head model, Deep Marching Tetrahedra (DMTet), implicit SDF",Yes,Hours (per-subject optimization),,FLAME expression + head pose,None,Real-time (3D Gaussian Splatting rendering at 2K resolution),,3D Gaussian Splatting,No,Head (face + dynamic hair),FALSE,
Wang2022hvh,N/A (per-subject optimization),"Custom multi-view captures (dense camera rig, ~160 cameras at Meta Reality Labs)",Real,Dense multi-view video,,"Tracked guide hair strands, head mesh",Dense multi-view video (~160 synchronized cameras),"Guide hair strand tracking, volumetric primitives, 3D scene flow, multi-view optical flow",Yes,Hours (per-subject training),,Tracked hair strands (guide hairs),None,Not real-time (volumetric ray marching),,Neural volumetric rendering (volumetric primitives with ray marching),No,Hair,FALSE,
Wang2023neuwigs,N/A (per-subject optimization),"Custom multi-view captures (dense camera rig, ~260 cameras at Meta Reality Labs)",Real,Dense multi-view video,,"Multi-view hair segmentation masks, head mesh",Dense multi-view video (~260 synchronized cameras),"Autoencoder-as-tracker for hair state compression, 3D point-cloud autoencoder, differentiable volumetric renderer, multi-view hair segmentation",Yes,Hours (per-subject two-stage training: state compression + dynamics model),,Head motion (temporal hair transfer without requiring hair observations at test time),None,Not real-time (volumetric rendering),,Neural volumetric rendering (differentiable volumetric renderer),No,Hair,FALSE,
liu2025lucas,Not specified (multi-identity mugsy-style capture),Multi-identity multi-view capture (Meta codec avatar data),Real,Multi-view video,,"Tracked 3DMM, Registered Meshes",Multi-view video,"FLAME-like mesh topology, layered face/hair mesh UPM",Yes,Not specified,,General expr,None,Real-time (>30 FPS),,3D Gaussian Splatting (mesh-anchored),No,"Head (face + hair, layered)",FALSE,
zhu2024champ,Not specified (internet dance/motion videos),"Custom in-the-wild dataset, benchmark dance datasets",Real,Video,,SMPL model fitting,Single reference image + motion sequence (SMPL),"Stable Diffusion (pretrained), SMPL, ReferenceNet, DWPose skeleton",No,Instant (<1min),,"SMPL pose sequence (depth, normal, semantic maps) + skeleton",None,Offline (<1 FPS),,Diffusion (latent diffusion),No,Full Body,FALSE,
tu2024tele,Not specified (custom captured per session),Custom captured data (4 sparse RGB cameras per site),Real,Multi-view video (4 sparse RGB cameras),,Cameras,Multi-view video (4 RGB cameras),,No,Instant (<1min),,Multi-view Image,None,Real-time (>30 FPS),,3DGS + Neural Rendering,Yes (weighted blending to upsample to 2048x2048),Upper Body,FALSE,
deng2024ram,Not specified,"Custom monocular videos, AIST++, UBC Fashion, TikTok",Real,Monocular video,,3D Body Model (SMPL-X),Monocular video,"SMPL-X, pretrained pose estimator",Yes,Medium (1-6h),,3D Body Pose + Expression,None,Real-time (>30 FPS),,3DGS,No,Full Body,FALSE,
svitov2023dinar,Not specified (2D images and videos for training),"SnapshotPeople, custom collected 2D images/videos",Real,Single image,,3D Body Model (SMPL-X),One,"SMPL-X, Latent Diffusion Model (for neural texture inpainting)",No,Instant (<1min),,3D Body Pose,None,Real-time (>30 FPS),,Neural Rendering (neural textures on SMPL-X mesh),Yes (diffusion inpainting for unseen regions),Full Body,FALSE,
zhang2023getavatar,Not specified (uses 2D image collections + 3D scan normal maps),"DeepFashion, RenderPeople (3D scan normals)","Real, Synthetic","Single image (2D collections), 3D scans (normal maps)",,3D Body Model (SMPL),Random noise (generative model),"SMPL, StyleGAN2-like generator, 3D scan normal maps",No,Instant (<1min),,3D Body Pose (SMPL parameters),None,Real-time (>30 FPS),,Mesh (rasterization-based explicit textured mesh),No,Full Body,FALSE,
zhu2023cat,Not specified (per-subject monocular video training),"H36M, ZJU-MoCap",Real,Monocular video,,3D Body Model (SMPL),Monocular video,SMPL,Yes,Slow (>6h),,3D Body Pose (SMPL parameters),None,Offline (<1 FPS),,NeRF,No,Full Body,FALSE,
geng2023learning,"Not specified (per-scene optimization, no prior dataset needed)",ZJU-MoCap,Real,Sparse multi-view video,,SMPL body model,Sparse multi-view video,"SMPL (part-based voxelized human representation), 2D motion parameterization",Yes,Fast (~5 minutes on a single RTX 3090 for 512x512 video with 100 frames),,Time (per-frame deformation field),None,"Offline (<1 FPS, NeRF volume rendering)",,NeRF,No,Full Body,FALSE,
shen2023x,"233 sequences from 20 participants, 35500 frames (X-Humans dataset)","X-Humans (contributed), GRAB",Real,"3D scans, RGB-D",,SMPL-X body model,3D scans or RGB-D data,"SMPL-X (part-aware learned forward skinning), pose-conditioned texture network",Yes,Slow (per-subject training),,3D Body Pose + Expression + Hand Pose (SMPL-X parameters),None,Not specified (implicit surface rendering),,Neural Rendering (implicit SDF + texture network),No,"Full Body (body, hands, face)",FALSE,
shao2025interspatial,"1M real human videos + 100K synthetic videos (for DiT); 600K videos (for VAE, Kinetics-600 + Human4DiT)","Kinetics-600, Human4DiT, Pexel, OpenVID-1M, MiraData, Koala-36M, PointOdyssey (synthetic), CMU MoCap, AMASS","Real, Synthetic",Video,,SMPL body model,Reference image + SMPL pose sequence (+ optional camera trajectory + optional background video),"SMPL, pretrained SD3 VAE (inflated to 3D), CLIP (for identity), custom Video VAE, Plucker camera embeddings",No,Feed-forward (30 sampling steps at inference),,3D Body Pose (SMPL) + Camera trajectory,None,Not specified (diffusion-based iterative denoising),,Video diffusion model (DiT with Interspatial Attention),No,"Full Body (single-person and multi-person, with background composition)",FALSE,
pang2025manivideo,Not specified (uses Objaverse for object diversity),"Objaverse (3D objects), custom hand-object manipulation video data","Real, Synthetic",Video,,"Hand model, 3D object meshes","Motion sequences of hands and objects (normal maps, occlusion confidence maps)","Multi-layer occlusion (MLO) representation, Objaverse 3D objects, UNet-based diffusion model",No,Feed-forward,,Hand-object motion sequence,None,Not specified (diffusion-based),,Video diffusion model (UNet-based),No,Hands + Objects (bimanual hand-object manipulation),FALSE,
li2025openhumanvid,Not specified (large-scale dataset contribution),OpenHumanVid (contributed),Real,Video + text captions + skeleton sequences + speech audio,,,Text prompt (+ optional skeleton sequence + optional speech audio),"Pretrained diffusion transformer, skeleton sequences, speech audio, detailed text captions (human appearance + motion states)",No,Feed-forward,,Text + Skeleton + Audio,None,Not specified (diffusion-based),,Video diffusion model (diffusion transformer),No,Full Body,FALSE,
zhuang2025dagsm,Not specified (uses pretrained Stable Diffusion 3 as generative prior),"None (text-driven generative, no reconstruction dataset)",Generated,Single image (rendered views for SDS/RFDS optimization),,Tracked 3DMM,Text,"SMPL-X, Stable Diffusion 3 (RFDS loss), SAM",Yes,Medium (<6h),,Simulation,None,Offline (<1 FPS),,Mesh + 2DGS (GS-enhanced mesh),Yes (view-consistent texture refinement with cross-view attention and IAW-DE denoising),"Full-body, Garment",FALSE,
tang2025gaf,50000 (sampled timesteps from NeRSemble for multi-view diffusion training),"NeRSemble, INSTA, custom smartphone captures",Real,Mono video,,Tracked 3DMM,Mono video,"FLAME, Multi-view Head Diffusion Model (finetuned from Stable Diffusion 2.1/ImageDream), Latent Upsampler, VHAP tracker, CLIP",Yes,Slow (>6h),,3DMM expr,None,Real-time (>30 FPS),,3DGS,Yes (latent upsampler diffusion model refines denoised latents from 32x32 to 64x64 before decoding to 512x512),"Face, Hair",FALSE,
prinzler2024joker,Not specified (uses pretrained StableDiffusion 1.5 as 2D prior),"Not specified (trained with diffusion-based prior, no specific reconstruction dataset)",Generated,Single image,,Tracked 3DMM,"One, Text","3DMM, StableDiffusion 1.5 (Reference Network + ControlNet driving), DiffPortrait3D",Yes,Medium (<6h),,"3DMM expr, Text",None,Offline (<1 FPS),,NeRF,No,"Face, Hair, Tongue",FALSE,
teotia2025audiodrivenuniversalgaussianhead,"230 identities (Ava-256 for UHAP training), 10 identities (Multiface for audio model)","Ava-256, Multiface",Real,"Multi-view video, Meshes",,"Tracked 3DMM, Registered Meshes, Textures","Audio, Few","UHAP (Universal Head Avatar Prior), Wav2Vec, DDPM diffusion model, LivePortrait",Yes,Fast (<30min),,Audio,None,Real-time (>30 FPS),,3DGS,No,"Face, Hair",FALSE,
barthel2025cgsgan,55000 (FFHQ-Clean: ~55k images after filtering 15k occluded + adding 12k rebalancing images),"FFHQ, FFHQ-Clean (curated subset)",Real,Single image,,Cameras,Zero,,No,Instant (<1min),,General expr,None,Real-time (>30 FPS),,3DGS + GAN,No,"Face, Hair",FALSE,
Drobyshev22MP,Not specified (medium-resolution video data + high-resolution image data),"VoxCeleb2 (medium-resolution video), FFHQ (high-resolution images)",Real,Video + Single image,,,One (single source image),"Pretrained face embedding network, 3D keypoints (unsupervised)",No,Instant (<1min),,Driving image/video (latent motion descriptors),None,Real-time (>30 FPS) (distilled student model),,Neural Rendering (encoder-decoder with warping),Yes (high-resolution enhancement module for megapixel output),Head,FALSE,
wang2021facevid2vid,Not specified,"VoxCeleb2, TalkingHead-1KH",Real,Video,,,One (single source image),"3D keypoints (unsupervised, decomposed into identity and motion)",No,Instant (<1min),,Driving video (3D keypoint motion),None,Real-time (>30 FPS),,Neural Rendering (image generator with feature warping),No,Head,FALSE,
chen2025hunyuanvideoavatarhighfidelityaudiodrivenhuman,Not specified,Benchmark datasets + custom wild dataset,Real,Video + Audio,,,Character image + audio + emotion reference image,"Pretrained video diffusion model (HunyuanVideo, MM-DiT), Audio Emotion Module, Face-Aware Audio Adapter",No,Feed-forward,,Audio + Emotion reference image,None,Offline (<1 FPS),,Video diffusion model (MM-DiT),No,Upper Body,FALSE,
wang2025fantasytalking,Not specified,Not specified,Real,Video + Audio,,,Single portrait image + audio,"Pretrained video diffusion transformer, facial-focused cross-attention module, motion intensity modulation module",No,Feed-forward,,Audio + motion intensity control,None,Offline (<1 FPS),,Video diffusion model (video diffusion transformer),No,Upper Body,FALSE,
svdp,Not specified,Not specified (cross-identity video data for training),Real,Video,,,One,"Video Diffusion (pretrained Stable Diffusion), masked facial regions (eyes, nose, mouth) from driving video",No,Instant (<1min),,Video (driving video with masked facial regions),None,Offline (<1 FPS),,Diffusion,No,Face,FALSE,
sang2025lynxhighfidelitypersonalizedvideo,Not specified,"Not specified; eval: 40 subjects, 20 prompts (800 test cases)",Real,Video,,,One + Text,"Video Diffusion (DiT), ArcFace (face ID embedding), Perceiver Resampler (ID-adapter), VAE (Ref-adapter)",No,Instant (<1min),,Text,None,Offline (<1 FPS),,Diffusion,No,Full-body,FALSE,
kirschstein2024gghead,70000,FFHQ,Real,Single image,,Template head mesh (UV layout),Random noise (generative model),"3D GAN (StyleGAN2-like 2D CNN generator), template head mesh UV layout, total variation loss on rendered UV coordinates",No,Instant (<1min),,Latent code (GAN latent space),None,Real-time (>30 FPS),,3DGS,No,Head,FALSE,
learn2control,Not specified (large-scale synthetic dataset with multiple poses and identities),Custom synthetic dataset (multiple poses and identities) + real data,"Real, Synthetic",Single image,,Parametric head model (for neural Gaussian embedding),One,"Diffusion, parametric head surface, learnable neural Gaussians (control signal)",No,Instant (<1min),,3DMM expr (parametric head model parameters),None,Offline (<1 FPS),,Diffusion,No,Head,FALSE,
ma2024followyouremoji,Not specified,"EmojiBench (custom benchmark with diverse portrait images, driving videos, and landmarks)",Real,Video,,,One,"Video Diffusion (Stable Diffusion), expression-aware landmarks, facial fine-grained loss (expression + facial masks)",No,Instant (<1min),,Landmarks (expression-aware landmarks from driving video),None,Offline (<1 FPS),,Diffusion,No,Face,FALSE,
zhang2023closet,N/A (per-subject optimization from scans),"ReSynth, THuman2.0, custom CloSET dataset (77 outfits, 2000+ scans)",Real,3D scans (registered meshes),,"SMPL body model, registered scans, garment segmentation",3D scans of clothed humans in various poses,"SMPL body model, explicit garment template decomposition, UV-based point features on body surface",Yes,Hours (per-subject training),,Body pose (SMPL pose parameters),None,Not specified,,Point-based rendering (differentiable point rasterization),No,Full-body (clothed),FALSE,
mei2025lux,"Hybrid dataset: static OLAT data (~70 subjects, 18 expressions each, 460 light directions) + in-the-wild portrait performance videos","OLAT light stage captures, in-the-wild portrait performance videos, HDRI environment maps",Real + Synthetic (hybrid),Video + light stage OLAT images,,,Portrait video + target HDRI environment map,"Pretrained video diffusion model (Stable Video Diffusion), lighting injection mechanism, OLAT-based relighting prior",No,Feed-forward,,Original video performance (preserved),Yes (HDRI environment map),Not real-time (video diffusion inference),,Conditional video diffusion model,No,Head (portrait),FALSE,
Ng2022learninglisten,~772 dyadic conversation sequences (~48 hours video at 30fps),Custom in-the-wild dyadic conversation dataset + ViCo dataset,Real,Video + audio,,3DMM face tracker (face mesh coefficients),Speaker audio + speaker facial motion,"VQ-VAE for discrete latent listener motion encoding, cross-attention transformer, 3DMM face model",No,Feed-forward,,Speaker audio + speaker facial motion (cross-modal),None,Real-time (autoregressive generation at 30fps),,3D face mesh rendering (3DMM coefficients output),No,Face (listener facial motion),FALSE,
Tevet2024closd,"~14,616 motions (HumanML3D subset of AMASS for diffusion planner training)","HumanML3D, AMASS",Real (motion capture),3D Motion (SMPL joint rotations/positions),,3D Body Model (SMPL),Text prompt + optional target location,"SMPL body model, MDM-based diffusion planner (DiP), PHC-based RL tracking controller (MuJoCo physics simulation)",No,Instant (<1min),,Text + Physics simulation,None,Real-time (>30 FPS),,Mesh (physics-simulated SMPL body in MuJoCo),No,Full Body,FALSE,
Li2024unimotion,"~14,616 motions with ~44K text descriptions (HumanML3D); frame-level script annotations generated via LLM",HumanML3D,Real (motion capture),3D Motion (SMPL joint positions/rotations) + Text,,3D Body Model (SMPL),Text (global description and/or frame-level script),"SMPL body model, T5 text encoder, classifier-free guidance",No,Instant (<1min),,Text,None,Real-time (>30 FPS),,Mesh (SMPL body driven by generated motion),No,Full Body,FALSE,
Petrovich2023tmr,"~14,616 motions (HumanML3D) + ~3,911 motions (KIT-ML)","HumanML3D, KIT-ML",Real (motion capture),3D Motion (SMPL joint features) + Text,,3D Body Model (SMPL),Text description,"SMPL body model, TEMOS motion VAE, contrastive text-motion embedding, distilBERT text encoder",No,Instant (<1min),,Text,None,Real-time (>30 FPS),,Mesh (SMPL body driven by retrieved/generated motion),No,Full Body,FALSE,
Beeler2011highpassive,Not specified (per-subject capture),Custom multi-view studio capture,Real,Multi-view video,,Cameras,Multi-view video,Anchor frames (neutral expression frames for stable geometry reference),Yes,Slow (>6h),,Video,None,Offline (<1 FPS),,Mesh,No,Face,FALSE,
Beeler2010highsingle,N/A (no prior dataset; per-subject capture),Custom captures (7-camera passive stereo rig),Real,Multi-view images (7 synchronized cameras with structured light paint),,"Cameras, fluorescent face paint",Multi-view images (single-shot capture from 7 cameras),None (data-driven mesoscopic augmentation from pore-level detail),Yes,Minutes (automated stereo reconstruction pipeline),,,None (baked appearance under controlled studio lighting),,,Mesh,No,Face,FALSE,
taubner2025mvp4d,~2.4M video clips (pretrained video diffusion on large-scale datasets),"VFHQ (Video Face dataset), custom multi-view synthetic renders","Real, Synthetic",Single image,,FLAME mesh (for expression conditioning),One,"Pretrained video diffusion model (Wan2.1), FLAME 3DMM, multi-view generation via camera conditioning",Yes,Minutes (video generation + 3DGS distillation),,3DMM expr,None,Real-time (>30 FPS),,3DGS,No,Head,FALSE,
li2024hhmr,~2.6M hand images (InterHand2.6M) + FreiHAND (~130K) + HO3Dv2 + DexYCB,"InterHand2.6M, FreiHAND, HO3Dv2, DexYCB",Real,"Single image, Meshes",,MANO hand model,"Zero (generation), One (reconstruction/fitting)","MANO, Graph Diffusion Model, cross-modal condition alignment",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,Mesh,No,Hands,FALSE,
chen2021model,~130K (FreiHAND) + HO3D + MHP + RHD + STB for evaluation,"FreiHAND, HO3D, MHP, RHD, STB, YouTube hand videos (unlabeled)",Real,Single image,,MANO hand model,One,"MANO, 2D keypoint detector (pretrained), differentiable renderer, self-supervised losses (photometric, silhouette, 2D keypoint consistency)",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,Mesh,No,Hands,FALSE,
chen2022mobrecon,~130K (FreiHAND) + RHD (~44K) + HO3Dv2,"FreiHAND, RHD, HO3Dv2",Real,Single image,,MANO hand model (mesh topology),One,"MANO (mesh topology for graph convolution), depth-separable spiral convolution",No,Instant (<1min),,Pose,None,Real-time (83 FPS on Apple A14 CPU),,Mesh,No,Hands,FALSE,
chen2023hand,"875,530 training samples (InterHand2.6M right-hand annotations for PairOF pre-training)",InterHand2.6M,Real,Mono video,,MANO-HD mesh (tracked hand pose parameters),Monocular video (single subject),"MANO-HD (high-res hand mesh with 12,337 vertices), pre-trained PairOF occupancy field",Yes,Hours,,Hand pose (MANO pose parameters),Disentangled (albedo + self-occlusion illumination),Offline (<1 FPS),,NeRF (volumetric rendering with occupancy + shading fields),No,Hand,FALSE,
zheng2024ohta,Multi-subject hand dataset (learns data-driven priors from available hand data),InterHand2.6M,Real,Single image,,MANO mesh (hand model),Single image (one-shot),"Data-driven hand prior model (learned implicit priors for hand shape, appearance)",Yes,Minutes,,Hand pose (MANO pose parameters),None,Offline (<1 FPS),,NeRF (implicit neural rendering),No,Hand,FALSE,
moon2024authentic,Multi-subject (universal hand model trained on multiple identities),Custom multi-view hand scans,Real,Mono video (phone scan),,UHM (Universal Hand Model mesh),Short phone scan video,"UHM (universal hand model with learned shape and texture priors), image matching loss",Yes,Minutes,,Hand pose,None,Real-time (>30 FPS),,Mesh,No,Hand,FALSE,
huang2024learning,"~2.6M frames (InterHand2.6M, multi-subject)",InterHand2.6M,Real,Single image,,MANO mesh (hand model),Single image (one-shot),"MANO (hand pose/shape), learned neural texture maps, interaction-aware attention module",Yes,Minutes,,Hand pose (MANO pose parameters),None,Real-time (>30 FPS),,3DGS,No,Hand (interacting hands),FALSE,
tran2024voodoo3d,Large in-the-wild video dataset (not explicitly sized),"VoxCeleb2, in-the-wild video dataset",Real,Video,,,One image + driving video,"Tri-plane representation, 3DMM (for baseline comparisons)",No,Instant (<1min),,Driving video (expression tri-planes),None,Real-time (>30 FPS),,NeRF (tri-plane based),No,Head,FALSE,
qian2020html,51 subjects (102 hands after mirroring),"Custom hand scans (51 subjects), FreiHAND",Real,3D scans (multi-view images via SfM),,Registered Meshes,One (single RGB image),"MANO hand model, OpenPose (fingertip correspondences), Boukhayma et al. hand pose estimator",Yes,Instant (<1min),,MANO pose parameters,None,Real-time (>30 FPS),,Mesh (differentiable renderer PyTorch3D),No,Hand,FALSE,
chen2024meshavatar,"8+2 character sequences (1000 training frames each, 16 views)","ActorsHQ, AvatarReX",Real,Multi-view video,,"SMPL-X registrations, Cameras",Multi-view video,"SMPL-X, Deep Marching Tetrahedra (DMTet), RAFT-Stereo normal estimation, 3D human scans for normal network training",Yes,Slow (>6h),,SMPL-X pose parameters,Environment Map,Offline (<1 FPS),,Mesh (physics-based rendering with Monte-Carlo ray tracing),No,Body,FALSE,
kabadayi24ganavatar,Per-subject monocular images (collection of 2D images),Custom per-subject captures,Real,Multi-view images (collection of 2D images with camera parameters),,Camera parameters,Collection of 2D images,"3DMM (for expression mapping), 3D-aware GAN",Yes,Slow (>6h),,3DMM expr,None,Real-time (>30 FPS),,GAN (3D-aware generative model),No,Head,FALSE,
li2025tega,"8 subjects (custom dataset, 400 frames x 13 cameras each) + 4 subjects from Multiface (400 frames x 40 cameras each)","Custom multi-view capture, Multiface",Real,Multi-view video,,"Tracked 3DMM mesh, Cameras",Multi-view video,"3DMM (FLAME-like), VGG (perceptual loss)",Yes,Slow (10-16 hours on H100),,3DMM expr (expression parameters),None,Real-time (>30 FPS),,3D Gaussian Splatting (up to 4M Gaussians in UVD space),No,Head,FALSE,
li2024uravatar,Hundreds of high-quality multi-view human scans with controllable point lights,Multi-view capture with controllable point lights (proprietary),Real,Multi-view images with controlled point lights + phone scan for fine-tuning,,"3DMM, Cameras",Phone scan (unknown illumination),"Pretrained universal relightable model, 3D Gaussians, high-resolution geometric guidance",Yes,Medium (fine-tuning from pretrained model),,3DMM expr,Environment Map,Real-time (>30 FPS),,3D Gaussian Splatting (learnable radiance transfer),No,Head,FALSE,
lombardi2019neuvol,Per-subject multi-view capture,Custom multi-view capture,Real,Multi-view video,,Cameras,Multi-view video,,Yes,Slow (>6h),,Latent code (encoder-decoder),None,Real-time (>30 FPS),,Neural Rendering (volumetric ray-marching),No,Head,FALSE,
li2023megane,Hundreds of multi-view scans with controlled point lights (proprietary Mugsy-style capture),Custom multi-view capture with controlled point lights,Real,Multi-view images with controlled lighting,,"3DMM, Cameras",Multi-view images (inverse rendering for novel glasses fitting),"3DMM (face morphable model), surface+volumetric hybrid representation",Yes,Slow (>6h),,3DMM expr,Point lights + Environment Map,Real-time (>30 FPS),,Neural Rendering (hybrid surface mesh + volumetric),No,Face,FALSE,
liu2019neural,5 subjects (~12000 frames per person),Custom monocular captures,Real,Monocular video,,"Textured 3D template mesh (from photogrammetry), rigged skeleton",Monocular video (~8 min),"3D character model (photogrammetry), skeleton tracking (Mehta et al.), OpenPose facial landmarks",Yes,Slow (~12h training per subject at 256x256),,"Skeletal pose (joint angles, motion capture, or driving video)",None,"Interactive (~15 FPS, 68ms forward pass)",,GAN (conditional image-to-image translation with attentive discriminator),Yes,Body,FALSE,
liu2020Neural,"7 sequences (~12000 frames each, per person)",Custom monocular captures (from Liu et al. 2019),Real,Monocular video,,"Textured 3D template mesh (from photogrammetry), rigged skeleton",Monocular video,"3D character model (Agisoft Photoscan), monocular performance capture, vid2vid architecture",Yes,"Slow (~2 days per network at 256x256, ~6 days at 512x512)",,Skeletal pose (joint angles),None,Real-time (8ms TexNet + 8ms RefNet per frame at 256x256),,GAN (vid2vid-based TexNet for dynamic texture + RefNet for rendering-to-video translation),Yes,Body,FALSE,
cheng2023dna,"1500 subjects, 5000 motion sequences, 67.5M frames",DNA-Rendering,Real,Multi-view video,,Cameras/Registered Meshes,Multi-view video,"SMPLX body model, 2D/3D keypoints, foreground masks",Yes,Slow >6h,,Pose,None,Offline <1 FPS,,NeRF,No,Full-body,FALSE,
qiu2025lhm,Large (trained on multi-source datasets including synthetic 3D scans and real images),"GObjaverse, 2K2K, CustomHumans, THuman2.1",Synthetic,Multi-view image,,Registered Meshes,One,"SMPL-X body model, multimodal transformer",No,Instant <1min,,Pose,None,Interactive >5 FPS,,3DGS,No,Full-body/Face/Hands,FALSE,
ki2024export3d,Large (VoxCeleb2-based training),"VoxCeleb2, VFHQ",Real,Mono video,,Tracked 3DMM,One,"3DMM expression parameters, contrastive pre-training for appearance-free expression",No,Instant <1min,,3DMM expr,None,Real-time >30 FPS,,NeRF,No,Face,FALSE,
yu2023nofa,70000 (FFHQ),FFHQ,Real,Single image,,Tracked 3DMM,One,"EG3D generative prior, 3DMM deformation field",No,Instant <1min,,3DMM expr,None,Real-time >30 FPS,,NeRF/GAN,Yes,Face,FALSE,
lin2025controlhairphysicallybasedvideodiffusion,10000 videos (curated 10K video dataset),Custom curated hair video dataset,Real,Mono video,,,One,"Physics-based hair simulator, video diffusion model",No,Instant <1min,,Simulation,None,Offline <1 FPS,,Diffusion,No,Hair,FALSE,
hong2023eva3d,~52000 (DeepFashion),DeepFashion,Real,Single image,,Registered Meshes,Zero,"SMPL body model, compositional NeRF with per-part volumes, pose-guided sampling",No,Instant <1min,,Pose,None,Real-time >30 FPS,,NeRF/GAN,No,Full-body,FALSE,
dong2023ag3d,~52000 (DeepFashion),"DeepFashion, SHHQ",Real,Single image,,Registered Meshes,Zero,"SMPL body model, predicted 2D normal maps, articulation module",No,Instant <1min,,Pose,None,Real-time >30 FPS,,NeRF/GAN,Yes,Full-body/Garment,FALSE,
xu2023xagen,~52000 (DeepFashion),DeepFashion,Real,Single image,,Registered Meshes,Zero,"SMPL-X body model, multi-scale multi-part 3D representation, multi-part discriminators",No,Instant <1min,,Pose/3DMM expr,None,Real-time >30 FPS,,NeRF/GAN,No,Full-body/Face/Hands,FALSE,
hu2024structldm,~52000 (DeepFashion),DeepFashion,Real,Single image,,Registered Meshes,Zero,"SMPL body model, structured latent space on body surface manifold, structured local NeRFs",No,Instant <1min,,Pose,None,Real-time >30 FPS,,NeRF/Diffusion,No,Full-body,FALSE,
yang2024e3gen,2030 scans (CustomHumans + THuman2.1),"CustomHumans, THuman2.1",Synthetic,Multi-view image,,Registered Meshes,Zero,"SMPL-X body model, UV feature plane representation, part-aware deformation module",No,Instant <1min,,Pose/3DMM expr,None,Real-time >30 FPS,,3DGS/Diffusion,No,Full-body/Face/Hands,FALSE,
chen2025foundhand,10000000 (FoundHand-10M),FoundHand-10M,Real,Single image,,,One,"Stable Diffusion, 2D hand keypoints as universal representation, segmentation masks",No,Instant <1min,,Pose,None,Offline <1 FPS,,Diffusion,No,Hands,FALSE,
chen2025interactavatar,Per-subject capture (multi-view video sequences of hand-face interactions),Custom multi-view capture (NeRSemble-style setup with 16 cameras),Real,Multi-view video,,Tracked 3DMM/Cameras/Registered Meshes,Multi-view video,"FLAME head model, MANO hand model, 3DGS template",Yes,Slow >6h,,3DMM expr/Pose,None,Real-time >30 FPS,,3DGS,No,Face/Hands,FALSE,
shimada2023decaf,Custom hand-face interaction dataset (multi-view capture with markerless system),Custom hand-face motion and interaction capture dataset,Real,Multi-view video,,Tracked 3DMM/Cameras/Registered Meshes,Mono video,"FLAME head model, MANO hand model, position-based dynamics for deformation, VAE depth prior",Yes,Slow >6h,,Video,None,Offline <1 FPS,,Mesh,No,Face/Hands,FALSE,
danecek2023emote,"Large (MEAD: 48 actors, 8 emotions, 3 intensities; LRS3 for lip-reading supervision)","MEAD, LRS3",Real,Mono video,,Tracked 3DMM,Audio,"FLAME head model, EMOCA for 3D pseudo-ground-truth extraction, AV-HuBERT lip-reading, temporal VAE motion prior",No,Slow >6h,,Audio,None,Real-time >30 FPS,,Mesh,No,Face,FALSE,
peng2023emotalk,"Large (3D-ETF dataset with emotional talking face data extracted from 2D emotional datasets; RAVDESS, HDTF)","3D-ETF (custom), RAVDESS, HDTF",Real,Mono video,,Tracked 3DMM,Audio,"Blendshape representation, emotion disentangling encoder (EDE), cross-reconstruction for emotion/content separation",No,Slow >6h,,Audio,None,Real-time >30 FPS,,Mesh,No,Face,FALSE,
tseng2023edge,Large (AIST++ dance dataset: ~1000 sequences across 10 genres),AIST++,Real,Mono video,,Registered Meshes,Audio,"SMPL body model, Jukebox music feature extractor, transformer-based diffusion",No,Slow >6h,,Audio,None,Offline <1 FPS,,Mesh,No,Full-body,FALSE,
shetty2024holoported,Per-subject dense multi-view video (up to 160 cameras at training),Custom dense multi-view capture (DynaCap-style),Real,Multi-view video,,Tracked 3DMM/Cameras/Registered Meshes,Multi-view video,"Skeleton-driven dynamic mesh, rigged static surface scan, view-dependent texture",Yes,Slow >6h,,Pose,None,Real-time >30 FPS,,Mesh,Yes,Full-body/Face/Hands/Garment,FALSE,
sun2024metacap,"Multi-view video datasets (ActorsHQ, DynaCap, WildDynaCap with dense and sparse camera rigs)","ActorsHQ, DynaCap, WildDynaCap (custom)",Real,Multi-view video,,Tracked 3DMM/Cameras/Registered Meshes,Multi-view images,"SMPL body model, meta-learning (MAML-based) weight initialization, pose-canonicalized NeRF",Yes,Fast <30min,,Pose,None,Offline <1 FPS,,NeRF,No,Full-body/Garment,FALSE,
